Monitoring point coding,Monitoring point name,city,longitude,latitude,region,GADM
1038A,Materials Bureau,Tangshan,118.1725,39.6334,Hebei,CN.HB
1039A,Ceramic Company (discontinued 200109),Tangshan,118.2185,39.6679,Hebei,CN.HB
1040A,Twelve,Tangshan,118.1705,39.6506,Hebei,CN.HB
1041A,Hill,Tangshan,118.1869,39.622,Hebei,CN.HB
1042A,Beidaihe Environmental Protection Bureau,Qinhuangdao,119.5134,39.8207,Hebei,CN.HB
1043A,first round,Qinhuangdao,119.7493,40.0116,Hebei,CN.HB
1044A,Monitoring station,Qinhuangdao,119.5897,39.9499,Hebei,CN.HB
1045A,City Hall,Qinhuangdao,-,-,Hebei,CN.HB
1046A,Building a building,Qinhuangdao,119.5251,39.9041,Hebei,CN.HB
1047A,Environmental Protection Agency,Handan,114.5129,36.61763,Hebei,CN.HB
1048A,East Sewage Treatment Plant,Handan,114.5302,36.6116,Hebei,CN.HB
1049A,Mine,Handan,114.4918,36.5713,Hebei,CN.HB
1050A,Congtai Park,Handan,114.484,36.6133,Hebei,CN.HB
1051A,Swimming pool,Baoding,115.493,38.8632,Hebei,CN.HB
1052A,Huadian Second District,Baoding,115.5213,38.8959,Hebei,CN.HB
1053A,reception center,Baoding,115.4713,38.9108,Hebei,CN.HB
1054A,Surface water plant,Baoding,115.4612,38.8416,Hebei,CN.HB
1055A,Film factory,Baoding,115.4323,38.8697,Hebei,CN.HB
1056A,Monitoring station,Baoding,115.5086,38.8639,Hebei,CN.HB
1057A,People's Park,Zhangjiakou,114.8883,40.8336,Hebei,CN.HB
1058A,Exploration Machine Factory,Zhangjiakou,114.892,40.79481,Hebei,CN.HB
1059A,Hardware library,Zhangjiakou,114.8687,40.8042,Hebei,CN.HB
1060A,Century Garden,Zhangjiakou,114.8902,40.762,Hebei,CN.HB
1061A,North Pump Room (reference point),Zhangjiakou,114.8916,40.8661,Hebei,CN.HB
1062A,railway,Chengde,117.9531,40.9081,Hebei,CN.HB
1063A,Bank of China,Chengde,117.9392,40.9763,Hebei,CN.HB
1064A,Development Zone,Chengde,117.9503,40.928,Hebei,CN.HB
1065A,cultural Center,Chengde,117.8051,40.9655,Hebei,CN.HB
1066A,Li Palace (control point),Chengde,117.9268,41.0026,Hebei,CN.HB
1067A,Medicine Company,Langfang,116.6708,39.5111,Hebei,CN.HB
1068A,Development Zone,Langfang,116.7214,39.5589,Hebei,CN.HB
1069A,Environmental Monitoring Supervision Center,Langfang,116.715,39.5571,Hebei,CN.HB
1070A,Beihua University of Aeronautics and Astronautics,Langfang,116.7244,39.5269,Hebei,CN.HB
1071A,Cang County Urban Construction Bureau,Cangzhou,116.8842,38.2991,Hebei,CN.HB
1072A,TV station,Cangzhou,116.8584,38.3254,Hebei,CN.HB
1073A,Municipal Environmental Protection Bureau,Cangzhou,116.8709,38.3228,Hebei,CN.HB
1074A,Electric North Plant,Hengshui,115.6838,37.7541,Hebei,CN.HB
1075A,City Monitoring Station,Hengshui,115.6303,37.7316,Hebei,CN.HB
1076A,Municipal Environmental Protection Bureau,Hengshui,115.6906,37.739,Hebei,CN.HB
1077A,Dahuoquan,Xingtai,114.4704,37.0886,Hebei,CN.HB
1078A,Xing Teachers College,Xingtai,114.5062,37.0349,Hebei,CN.HB
1079A,Road and Bridge Company,Xingtai,114.5237,37.0851,Hebei,CN.HB
1080A,Municipal Environmental Protection Bureau,Xingtai,114.4725,37.0719,Hebei,CN.HB
1081A,Pointed lawn,Taiyuan,112.5139,37.8873,Shanxi,CN.SX
1082A,Jianhe,Taiyuan,112.573,37.9103,Shanxi,CN.SX
1083A,Shanglan (control point),Taiyuan,112.434,38.0108,Shanxi,CN.SX
1084A,Jinyuan,Taiyuan,112.469,37.7124,Shanxi,CN.SX
1085A,Shop,Taiyuan,112.5583,37.7394,Shanxi,CN.SX
1086A,Taoyuan,Taiyuan,112.5369,37.8692,Shanxi,CN.SX
1087A,Wucheng,Taiyuan,112.57,37.8195,Shanxi,CN.SX
1088A,Nanzhai,Taiyuan,112.549,37.9854,Shanxi,CN.SX
1089A,Jin Sheng,Taiyuan,112.4701,37.782,Shanxi,CN.SX
1090A,Hohhot No.1 Supervisor,Hohhot,111.6507,40.7517,Nei Mongol,CN.NM
1091A,Xiaozhao,Hohhot,111.6572,40.8033,Nei Mongol,CN.NM
1092A,Xingsong Community (stopped 200113),Hohhot,111.659,40.8452,Nei Mongol,CN.NM
1093A,Sugar factory (out of operation 200113),Hohhot,111.608,40.8144,Nei Mongol,CN.NM
1094A,Ruyi Water Treatment Plant,Hohhot,111.7516,40.8369,Nei Mongol,CN.NM
1095A,Twenty-nine Middle School,Hohhot,111.7276,40.8062,Nei Mongol,CN.NM
1096A,University of Technology Jinchuan Campus,Hohhot,111.5512,40.7866,Nei Mongol,CN.NM
1097A,Fertilizer plant living area,Hohhot,111.717,40.7612,Nei Mongol,CN.NM
1098A,Forest Road (Control Point),Shenyang,123.6836,41.9339,Liaoning,CN.LN
1099A,Hunnan East Road,Shenyang,123.505,41.7406,Liaoning,CN.LN
1100A,Rookie Street,Shenyang,123.4231,41.6989,Liaoning,CN.LN
1101A,Canghai Road,Shenyang,123.284,41.7694,Liaoning,CN.LN
1102A,Dongling Road,Shenyang,123.5903,41.8411,Liaoning,CN.LN
1103A,Lingdong Street,Shenyang,123.4264,41.8467,Liaoning,CN.LN
1104A,Cultural Road,Shenyang,123.4114,41.7653,Liaoning,CN.LN
1105A,Xiaoheyan,Shenyang,123.4678,41.7867,Liaoning,CN.LN
1106A,Taiyuan Street,Shenyang,123.4017,41.7972,Liaoning,CN.LN
1107A,Nanshi East Road,Shenyang,123.3606,41.7806,Liaoning,CN.LN
1108A,Jingshen Street,Shenyang,123.3783,41.9228,Liaoning,CN.LN
1109A,Ganjingzi,Dalian,121.612,38.9741,Liaoning,CN.LN
1110A,Zhou Shuizi,Dalian,121.565,38.9511,Liaoning,CN.LN
1111A,Xinghai Third Station,Dalian,121.5637,38.8845,Liaoning,CN.LN
1112A,Qingniwa Bridge,Dalian,121.6302,38.9117,Liaoning,CN.LN
1113A,Fujiazhuang,Dalian,121.6251,38.8638,Liaoning,CN.LN
1114A,Qixianling,Dalian,121.5213,38.8661,Liaoning,CN.LN
1115A,Lushun,Dalian,121.2529,38.8061,Liaoning,CN.LN
1116A,Golden State,Dalian,121.7485,39.1311,Liaoning,CN.LN
1117A,Development Zone,Dalian,121.7811,39.0496,Liaoning,CN.LN
1118A,Double D Port,Dalian,121.9762,39.0631,Liaoning,CN.LN
1119A,food factory,Changchun,125.3325,43.9166,Jilin,CN.JL
1120A,Bus factory,Changchun,125.2863,43.9027,Jilin,CN.JL
1121A,School of Posts and Telecommunications,Changchun,125.2841,43.8463,Jilin,CN.JL
1122A,Labor park,Changchun,125.3716,43.8772,Jilin,CN.JL
1123A,Garden Department,Changchun,125.3297,43.8805,Jilin,CN.JL
1124A,Jingyuetan,Changchun,125.4605,43.79,Jilin,CN.JL
1125A,Diaowanzi (control point),Changchun,125.7194,43.515,Jilin,CN.JL
1126A,Sanitation Department of Economic Development Zone,Changchun,125.3863,43.8447,Jilin,CN.JL
1127A,High-tech Zone Management Committee,Changchun,125.245,43.7783,Jilin,CN.JL
1128A,Daishan Park,Changchun,125.1761,43.8325,Jilin,CN.JL
1129A,Lingbei (control point),Harbin,126.5422,45.755,Heilongjiang,CN.HL
1130A,Songbei Business University,Harbin,126.561,45.8167,Heilongjiang,CN.HL
1131A,Acheng Huining,Harbin,126.979,45.5419,Heilongjiang,CN.HL
1132A,Nangang Xuefu Road,Harbin,126.599,45.7222,Heilongjiang,CN.HL
1133A,Taiping Grand Park,Harbin,126.689,45.7733,Heilongjiang,CN.HL
1134A,Daowai Chengde Plaza,Harbin,126.635,45.7667,Heilongjiang,CN.HL
1135A,Xiangfang Hongqi Street,Harbin,126.685,45.7319,Heilongjiang,CN.HL
1136A,Power Heping Road,Harbin,126.6411,45.7258,Heilongjiang,CN.HL
1137A,Daoli Jianguo Road,Harbin,126.593,45.7478,Heilongjiang,CN.HL
1138A,Bungalow East Light Factory,Harbin,126.615,45.61,Heilongjiang,CN.HL
1139A,Hulan Teachers College,Harbin,126.595,45.9855,Heilongjiang,CN.HL
1140A,Provincial Academy of Agricultural Sciences,Harbin,126.6206,45.6842,Heilongjiang,CN.HL
1141A,Putuo,Shanghai,121.4,31.238,Shanghai,CN.SH
1142A,15th factory,Shanghai,121.478,31.2036,Shanghai,CN.SH
1143A,Hongkou,Shanghai,121.467,31.3008,Shanghai,CN.SH
1144A,Xuhui Normal University,Shanghai,121.412,31.1654,Shanghai,CN.SH
1145A,Yangpu Four Drifts,Shanghai,121.536,31.2659,Shanghai,CN.SH
1146A,Qingpu Dianshan Lake (reference point),Shanghai,120.978,31.0935,Shanghai,CN.SH
1147A,Jing'an Monitoring Station,Shanghai,121.425,31.2261,Shanghai,CN.SH
1148A,Pudong Chuansha,Shanghai,121.703,31.1907,Shanghai,CN.SH
1149A,Pudong New Area Monitoring Station,Shanghai,121.533,31.2284,Shanghai,CN.SH
1150A,Pudong Zhangjiang,Shanghai,121.577,31.2071,Shanghai,CN.SH
1151A,Maigao bridge,Nanjing,118.8086,32.1065,Jiangsu,CN.JS
1152A,Caochangmen,Nanjing,118.7538,32.0551,Jiangsu,CN.JS
1153A,Shanxi Road,Nanjing,118.7794,32.0745,Jiangsu,CN.JS
1154A,Zhonghua Gate,Nanjing,118.7752,32.0023,Jiangsu,CN.JS
1155A,Ruijin Road,Nanjing,118.8109,32.0309,Jiangsu,CN.JS
1156A,Xuanwu Lake,Nanjing,118.7997,32.0754,Jiangsu,CN.JS
1157A,Pukou,Nanjing,118.6414,32.0931,Jiangsu,CN.JS
1158A,Olympic Sports Center,Nanjing,118.7356,31.9996,Jiangsu,CN.JS
1159A,Xianlin University Town,Nanjing,118.9125,32.1028,Jiangsu,CN.JS
1160A,Upper mountain (control point),Suzhou,120.561,31.2472,Jiangsu,CN.JS
1161A,South gate,Suzhou,120.628,31.2864,Jiangsu,CN.JS
1162A,Caixiang,Suzhou,120.591,31.3019,Jiangsu,CN.JS
1163A,Rolling mill,Suzhou,120.596,31.3264,Jiangsu,CN.JS
1164A,Wuzhong District,Suzhou,120.613,31.2703,Jiangsu,CN.JS
1165A,Suzhou New District,Suzhou,120.543,31.2994,Jiangsu,CN.JS
1166A,Suzhou Industrial Park,Suzhou,120.669,31.3097,Jiangsu,CN.JS
1167A,Xiangcheng District,Suzhou,120.641,31.3708,Jiangsu,CN.JS
1168A,Langshan Jiedao,Nantong,120.9098,31.9663,Jiangsu,CN.JS
1169A,Hongqiao,Nantong,120.86,32.0005,Jiangsu,CN.JS
1170A,In the city,Nantong,120.87,32.02,Jiangsu,CN.JS
1171A,Star Lake Garden,Nantong,120.94,31.93,Jiangsu,CN.JS
1172A,Zilang Academy,Nantong,120.81,32.0417,Jiangsu,CN.JS
1173A,Municipal Environmental Monitoring Station,Lianyungang,119.176,34.5885,Jiangsu,CN.JS
1174A,Hongmen Police Station,Lianyungang,119.141,34.5896,Jiangsu,CN.JS
1175A,Xugou Nuclear Power Expert Village,Lianyungang,119.368,34.7507,Jiangsu,CN.JS
1176A,Development Zone Hengrui Pharmaceutical Company,Lianyungang,119.348,34.6984,Jiangsu,CN.JS
1177A,Huanghe New Village,Xuzhou,117.179,34.2761,Jiangsu,CN.JS
1178A,Huaita,Xuzhou,117.1918,34.2384,Jiangsu,CN.JS
1179A,Tongshan Veterinary Hospital,Xuzhou,117.192,34.3083,Jiangsu,CN.JS
1180A,New town area,Xuzhou,117.256,34.2153,Jiangsu,CN.JS
1181A,Taoyuan Road,Xuzhou,117.244,34.2911,Jiangsu,CN.JS
1182A,Academy of Agricultural Sciences,Xuzhou,117.2933,34.2778,Jiangsu,CN.JS
1183A,Tongshan Environmental Protection Bureau,Xuzhou,117.166,34.1806,Jiangsu,CN.JS
1184A,Chengdong Finance Office (out of operation 180626),Yangzhou,119.46,32.3878,Jiangsu,CN.JS
1185A,City Monitoring Station,Yangzhou,119.404,32.41,Jiangsu,CN.JS
1186A,Hanjiang Monitoring Station,Yangzhou,119.389,32.3761,Jiangsu,CN.JS
1187A,Fourth Hospital (out of service 161107),Yangzhou,119.439,32.4033,Jiangsu,CN.JS
1188A,Snow waves,Wuxi,120.269,31.4867,Jiangsu,CN.JS
1189A,Yellow Lane,Wuxi,120.275,31.6219,Jiangsu,CN.JS
1190A,Cao Zhang,Wuxi,120.294,31.56,Jiangsu,CN.JS
1191A,Qitang,Wuxi,120.242,31.5031,Jiangsu,CN.JS
1192A,Dongting,Wuxi,120.3489,31.5863,Jiangsu,CN.JS
1193A,Wangzhuang,Wuxi,120.354,31.5475,Jiangsu,CN.JS
1194A,Rongxiang,Wuxi,120.245,31.5631,Jiangsu,CN.JS
1195A,Weir bridge,Wuxi,120.299,31.6817,Jiangsu,CN.JS
1196A,City Monitoring Station,Changzhou,119.9633,31.762,Jiangsu,CN.JS
1197A,Urban Construction School (out of operation 161026),Changzhou,119.933,31.7786,Jiangsu,CN.JS
1198A,Changgongyuan (out of operation 161026),Changzhou,119.962,31.8089,Jiangsu,CN.JS
1199A,Lucheng (out of service 161026),Changzhou,120.0393,31.7638,Jiangsu,CN.JS
1200A,Wujin Monitoring Station,Changzhou,119.9468,31.7069,Jiangsu,CN.JS
1201A,settle down,Changzhou,119.9255,31.9087,Jiangsu,CN.JS
1202A,Environmental Monitoring Station,Zhenjiang,,,Jiangsu,CN.JS
1203A,New District Office,Zhenjiang,119.6707,32.1875,Jiangsu,CN.JS
1204A,Vocational Education Center,Zhenjiang,119.4974,32.1968,Jiangsu,CN.JS
1205A,Dantu District Monitoring Station,Zhenjiang,119.4303,32.1328,Jiangsu,CN.JS
1206A,Park road,Taizhou,119.905,32.4878,Jiangsu,CN.JS
1207A,lotus,Taizhou,119.9189,32.4625,Jiangsu,CN.JS
1208A,Gaogang District Government,Taizhou,119.882,32.303,Jiangsu,CN.JS
1209A,International Students Pioneer Park,Taizhou,119.888,32.4639,Jiangsu,CN.JS
1210A,Pochi Mountain,Huaian,119.036,33.5981,Jiangsu,CN.JS
1211A,Beijing South Road,Huaian,119.007,33.575,Jiangsu,CN.JS
1212A,City Monitoring Station,Huaian,118.989,33.6067,Jiangsu,CN.JS
1213A,Chuzhou District Monitoring Station,Huaian,119.135,33.5039,Jiangsu,CN.JS
1214A,Huaiyin District Monitoring Station,Huaian,119.0186,33.6297,Jiangsu,CN.JS
1215A,Yancheng Power Plant,Yancheng,120.118,33.4022,Jiangsu,CN.JS
1216A,City Monitoring Station,Yancheng,120.156,33.3942,Jiangsu,CN.JS
1217A,Wenfeng Middle School,Yancheng,120.129,33.3719,Jiangsu,CN.JS
1218A,Development Zone Management Committee,Yancheng,120.2144,33.38,Jiangsu,CN.JS
1219A,City Monitoring Station (out of service 161107),Suqian,118.2658,33.96,Jiangsu,CN.JS
1220A,Suqian College,Suqian,118.293,33.9528,Jiangsu,CN.JS
1221A,Suqian Middle School,Suqian,118.2442,33.9592,Jiangsu,CN.JS
1222A,Suyu District Environmental Protection Bureau,Suqian,118.3214,33.9506,Jiangsu,CN.JS
1223A,Riverside,Hangzhou,120.2072,30.2111,Zhejiang,CN.ZJ
1224A,Xixi,Hangzhou,120.0633,30.2747,Zhejiang,CN.ZJ
1225A,Qiandao Lake (control point),Hangzhou,119.026,29.635,Zhejiang,CN.ZJ
1226A,Xiasha,Hangzhou,120.3461,30.3153,Zhejiang,CN.ZJ
1227A,Wolong Bridge,Hangzhou,120.1269,30.2456,Zhejiang,CN.ZJ
1228A,Zhejiang Agricultural University,Hangzhou,120.1903,30.2692,Zhejiang,CN.ZJ
1229A,Chaohui Five District,Hangzhou,120.157,30.2897,Zhejiang,CN.ZJ
1230A,Hemu Elementary School,Hangzhou,120.1197,30.3119,Zhejiang,CN.ZJ
1231A,Linping Town,Hangzhou,120.3019,30.4183,Zhejiang,CN.ZJ
1232A,Chengxiang Town,Hangzhou,120.2697,30.1819,Zhejiang,CN.ZJ
1233A,Yunqi,Hangzhou,120.0883,30.1808,Zhejiang,CN.ZJ
1234A,District Environmental Building,Ningbo,121.8358,29.911,Zhejiang,CN.ZJ
1235A,Wanli College,Ningbo,121.56,29.82,Zhejiang,CN.ZJ
1236A,Long Sai Hospital,Ningbo,121.713,29.9572,Zhejiang,CN.ZJ
1237A,Sanjiang Middle School,Ningbo,121.554,29.8906,Zhejiang,CN.ZJ
1238A,Municipal Management Station,Ningbo,121.615,29.9017,Zhejiang,CN.ZJ
1239A,Qianhu Water Plant,Ningbo,121.633,29.7733,Zhejiang,CN.ZJ
1240A,Taikoo Primary School,Ningbo,121.5856,29.8635,Zhejiang,CN.ZJ
1241A,Municipal Environmental Monitoring Center,Ningbo,121.524,29.8674,Zhejiang,CN.ZJ
1242A,Ouhai,Wenzhou,120.634,28.0089,Zhejiang,CN.ZJ
1243A,Nanpu,Wenzhou,120.6748,27.9939,Zhejiang,CN.ZJ
1244A,Longwan,Wenzhou,120.76,27.9747,Zhejiang,CN.ZJ
1245A,City Station,Wenzhou,120.6709,28.0167,Zhejiang,CN.ZJ
1246A,Paojiang Station,Shaoxing,120.598,30.0911,Zhejiang,CN.ZJ
1247A,Chengdong Development Committee,Shaoxing,120.6053,29.9928,Zhejiang,CN.ZJ
1248A,City Environmental Protection Station,Shaoxing,120.576,30.007,Zhejiang,CN.ZJ
1249A,Chengbei Water Plant,Huzhou,120.1,30.8867,Zhejiang,CN.ZJ
1250A,Chengxi Water Plant,Huzhou,120.0751,30.8669,Zhejiang,CN.ZJ
1251A,Jishan Xincun,Huzhou,120.093,30.8617,Zhejiang,CN.ZJ
1252A,Qinghe Primary School,Jiaxing,120.7436,30.778,Zhejiang,CN.ZJ
1253A,Jiaxing University,Jiaxing,120.726,30.7478,Zhejiang,CN.ZJ
1254A,Monitoring station,Jiaxing,,,Zhejiang,CN.ZJ
1255A,Huangyan Environmental Protection Building,Taizhou,121.273,28.6459,Zhejiang,CN.ZJ
1256A,Taizhou Environmental Protection Building,Taizhou,121.419,28.6542,Zhejiang,CN.ZJ
1257A,Lu Qiao Tian Yang Wang,Taizhou,121.377,28.5773,Zhejiang,CN.ZJ
1258A,Dinghai Sandalwood,Zhoushan,122.122,30.0203,Zhejiang,CN.ZJ
1259A,Putuo Donggang,Zhoushan,122.3094,29.9558,Zhejiang,CN.ZJ
1260A,Lincheng New District,Zhoushan,122.19,29.9944,Zhejiang,CN.ZJ
1261A,Fourth Middle School (out of operation 161031),Jinhua,119.649,29.1131,Zhejiang,CN.ZJ
1262A,15th Middle School,Jinhua,119.647,29.077,Zhejiang,CN.ZJ
1263A,Monitoring station,Jinhua,119.686,29.1029,Zhejiang,CN.ZJ
1264A,Environmental Building,Luzhou,118.8692,28.9398,Zhejiang,CN.ZJ
1265A,experiment School,Luzhou,118.8709,28.9666,Zhejiang,CN.ZJ
1266A,Quzhou University,Luzhou,118.8621,28.9808,Zhejiang,CN.ZJ
1267A,Monitoring station building,Lishui,119.914,28.4514,Zhejiang,CN.ZJ
1268A,Liandu Primary School,Lishui,119.93,28.4586,Zhejiang,CN.ZJ
1269A,Yuzhuangqian,Lishui,119.879,28.4231,Zhejiang,CN.ZJ
1270A,Pearl Plaza,Hefei,117.1959,31.7848,Anhui,CN.AH
1271A,Sanlijie,Hefei,117.3072,31.8764,Anhui,CN.AH
1272A,Amber Villa,Hefei,117.2588,31.8707,Anhui,CN.AH
1273A,Dongpu Reservoir (control point),Hefei,117.1604,31.9052,Anhui,CN.AH
1274A,Changjiang Middle Road,Hefei,117.25,31.8571,Anhui,CN.AH
1275A,Luyang District,Hefei,117.266,31.9436,Anhui,CN.AH
1276A,Yaohai District,Hefei,117.336,31.8586,Anhui,CN.AH
1277A,Baohe District,Hefei,117.3027,31.7964,Anhui,CN.AH
1278A,Binhu New District,Hefei,117.2776,31.7385,Anhui,CN.AH
1279A,High-tech Zone,Hefei,117.1318,31.8403,Anhui,CN.AH
1280A,Gushan (control point),Fuzhou,119.3903,26.0543,Fujian,CN.FJ
1281A,Quick on,Fuzhou,119.414,26.0258,Fujian,CN.FJ
1282A,Normal University,Fuzhou,119.2681,26.0504,Fujian,CN.FJ
1283A,Wusi North Road,Fuzhou,119.2984,26.1028,Fujian,CN.FJ
1284A,Yangqiao West Road,Fuzhou,119.2648,26.0768,Fujian,CN.FJ
1285A,Ziyang,Fuzhou,119.317,26.0746,Fujian,CN.FJ
1286A,Xidong (control point),Xiamen,118.1608,24.8169,Fujian,CN.FJ
1287A,Hong Wen,Xiamen,118.1514,24.4767,Fujian,CN.FJ
1288A,Gulangyu,Xiamen,118.0661,24.4444,Fujian,CN.FJ
1290A,Provincial Foreign Affairs Office,Nanchang,115.8931,28.6843,Jiangxi,CN.JX
1291A,Provincial Forestry Company,Nanchang,115.8886,28.7003,Jiangxi,CN.JX
1292A,Forestry Institute,Nanchang,115.8126,28.7442,Jiangxi,CN.JX
1293A,Jingdong Town Government (stopped 200108),Nanchang,115.973,28.6969,Jiangxi,CN.JX
1294A,Construction School,Nanchang,115.8518,28.687,Jiangxi,CN.JX
1295A,Elephant Lake,Nanchang,115.8921,28.6424,Jiangxi,CN.JX
1296A,Martial arts school (reference point),Nanchang,115.7423,28.7996,Jiangxi,CN.JX
1297A,Petrochemical (out of operation 170322),Nanchang,115.912,28.6131,Jiangxi,CN.JX
1298A,Provincial Station,Nanchang,115.9314,28.6842,Jiangxi,CN.JX
1299A,Branch Office,Jinan,116.9862,36.6114,Shandong,CN.SD
1300A,Agricultural Science Institute,Jinan,116.9376,36.665,Shandong,CN.SD
1301A,Development Zone,Jinan,117.1265,36.6734,Shandong,CN.SD
1302A,Jinan Chemical Plant,Jinan,116.989,36.6872,Shandong,CN.SD
1303A,Provincial Seed Warehouse,Jinan,117.0624,36.6868,Shandong,CN.SD
1304A,Second Machine Tool Plant,Jinan,116.9489,36.6447,Shandong,CN.SD
1305A,City Monitoring Station,Jinan,117.0495,36.663,Shandong,CN.SD
1306A,Changqing Party School,Jinan,116.7675,36.5484,Shandong,CN.SD
1307A,Yang mouth (control point),Qingdao,120.6659,36.2403,Shandong,CN.SD
1308A,Licang District Zizhan,Qingdao,120.3905,36.1851,Shandong,CN.SD
1309A,Shibei District Zizhan,Qingdao,120.3471,36.0699,Shandong,CN.SD
1310A,East Sub-Station of Shinan District,Qingdao,120.4134,36.0658,Shandong,CN.SD
1311A,Sifang District Substation,Qingdao,120.3664,36.1032,Shandong,CN.SD
1312A,Shinan District West Station,Qingdao,120.2994,36.054,Shandong,CN.SD
1313A,Laoshan District Substation,Qingdao,120.4581,36.0858,Shandong,CN.SD
1314A,Huangdao District Zizhan,Qingdao,120.1983,35.9608,Shandong,CN.SD
1315A,Chengyang District Substation,Qingdao,120.3999,36.3083,Shandong,CN.SD
1316A,Tobacco Factory,Zhengzhou,113.69031,34.76122,Henan,CN.HE
1317A,Zheng Fangji,Zhengzhou,113.65724,34.77134,Henan,CN.HE
1318A,Bank school,Zhengzhou,113.67526,34.80246,Henan,CN.HE
1319A,Water supply company,Zhengzhou,113.56746,34.81334,Henan,CN.HE
1320A,Economic Development Zone Management Committee,Zhengzhou,113.7329,34.7178,Henan,CN.HE
1321A,Forty Seven Middle School,Zhengzhou,113.73961,34.77172,Henan,CN.HE
1322A,City Monitoring Station,Zhengzhou,113.60532,34.74838,Henan,CN.HE
1323A,He Medical University,Zhengzhou,113.64164,34.7525,Henan,CN.HE
1324A,Gangli Reservoir (reference point),Zhengzhou,113.51488,34.91089,Henan,CN.HE
1325A,Donghu Liyuan,Wuhan,114.3677,30.5584,Hubei,CN.HU
1326A,Hanyang Moon Lake,Wuhan,114.2529,30.558,Hubei,CN.HU
1327A,Hankou Flower Bridge,Wuhan,114.282,30.6189,Hubei,CN.HU
1328A,Wuchang Ziyang,Wuhan,114.3025,30.5332,Hubei,CN.HU
1329A,Castle Peak,Wuhan,114.3646,30.6217,Hubei,CN.HU
1330A,Zhuankou New District,Wuhan,114.1566,30.4825,Hubei,CN.HU
1331A,Hankou River Beach,Wuhan,114.3014,30.5944,Hubei,CN.HU
1332A,Donghu High-tech,Wuhan,114.3894,30.4822,Hubei,CN.HU
1333A,Wu Jiashan,Wuhan,114.135,30.6319,Hubei,CN.HU
1334A,Shenhu Qihao (control point),Wuhan,113.8454,30.2917,Hubei,CN.HU
1335A,Economic Development Zone Environmental Protection Bureau,Changsha,113.0833,28.2325,Hunan,CN.HN
1336A,Gaokai District Environmental Protection Bureau,Changsha,112.8872,28.2189,Hunan,CN.HN
1337A,Mapo ling,Changsha,113.0792,28.2053,Hunan,CN.HN
